BK72 Williamsburg
BX10 Pelham Bay-Country Club-City Island
BX13 Co-op City
BX52 Schuylerville-Throgs Neck-Edgewater Park
BX07 Bronxdale
BX31 Allerton-Pelham Gardens
BX37 Van Nest-Morris Park-Westchester Square
BX49 Pelham Parkway
BX03 Eastchester-Edenwald-Baychester
BX44 Williamsbridge-Olinville
BX62 Woodlawn-Wakefield
BX99 park-cemetery-etc-Bronx
MN23 West Village
MN24 SoHo-TriBeCa-Civic Center-Little Italy
MN25 Battery Park City-Lower Manhattan
MN22 East Village
MN27 Chinatown
MN28 Lower East Side
MN13 Hudson Yards-Chelsea-Flat Iron-Union Square
MN15 Clinton
MN17 Midtown-Midtown South
MN19 Turtle Bay-East Midtown
MN20 Murray Hill-Kips Bay
MN21 Gramercy
MN50 Stuyvesant Town-Cooper Village
MN12 Upper West Side
MN14 Lincoln Square
MN31 Lenox Hill-Roosevelt Island
MN32 Yorkville
MN40 Upper East Side-Carnegie Hill
MN04 Hamilton Heights
MN06 Manhattanville
MN09 Morningside Heights
MN03 Central Harlem North-Polo Grounds
MN11 Central Harlem South
MN33 East Harlem South
MN34 East Harlem North
MN01 Marble Hill-Inwood
MN35 Washington Heights North
MN36 Washington Heights South
MN99 park-cemetery-etc-Manhattan
QN68 Queensbridge-Ravenswood-Long Island City
QN70 Astoria
QN71 Old Astoria
QN72 Steinway
QN99 park-cemetery-etc-Queens
QN31 Hunters Point-Sunnyside-West Maspeth
QN50 Elmhurst-Maspeth
QN63 Woodside
QN26 North Corona
QN27 East Elmhurst
QN28 Jackson Heights
QN25 Corona
QN29 Elmhurst
QN19 Glendale
QN20 Ridgewood
QN21 Middle Village
QN30 Maspeth
QN17 Forest Hills
QN18 Rego Park
QN22 Flushing
QN23 College Point
QN47 Ft. Totten-Bay Terrace-Clearview
QN49 Whitestone
QN51 Murray Hill
QN52 East Flushing
QN62 Queensboro Hill
QN06 Jamaica Estates-Holliswood
QN35 Briarwood-Jamaica Hills
QN37 Kew Gardens Hills
QN38 Pomonok-Flushing Heights-Hillcrest
QN41 Fresh Meadows-Utopia
QN53 Woodhaven
QN54 Richmond Hill
QN60 Kew Gardens
QN55 South Ozone Park
QN56 Ozone Park
QN57 Lindenwood-Howard Beach
QN42 Oakland Gardens
QN45 Douglas Manor-Douglaston-Little Neck
QN46 Bayside-Bayside Hills
QN48 Auburndale
QN01 South Jamaica
QN02 Springfield Gardens North
QN07 Hollis
QN08 St. Albans
QN61 Jamaica
QN76 Baisley Park
QN03 Springfield Gardens South-Brookville
QN05 Rosedale
QN33 Cambria Heights
QN34 Queens Village
QN43 Bellerose
QN44 Glen Oaks-Floral Park-New Hyde Park
QN66 Laurelton
QN10 Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
QN12 Hammels-Arverne-Edgemere
QN15 Far Rockaway-Bayswater
SI07 Westerleigh
SI08 Grymes Hill-Clifton-Fox Hills
SI12 Mariner's Harbor-Arlington-Port Ivory-Graniteville
SI22 West New Brighton-New Brighton-St. George
SI28 Port Richmond
SI35 New Brighton-Silver Lake
SI37 Stapleton-Rosebank
SI05 New Springville-Bloomfield-Travis
SI14 Grasmere-Arrochar-Ft. Wadsworth
SI24 Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
SI36 Old Town-Dongan Hills-South Beach
SI45 New Dorp-Midland Beach
SI01 Annadale-Huguenot-Prince's Bay-Eltingville
SI11 Charleston-Richmond Valley-Tottenville
SI25 Oakwood-Oakwood Beach
SI32 Rossville-Woodrow
SI48 Arden Heights
SI54 Great Kills
